run_started_at_utc,run_date_utc,run_hour_utc,ingested_events,dropped_invalid,dropped_duplicate,dropped_spam,total_dropped,passed_downstream,removal_rate_pct,throughput_events_per_sec,manual_sample_size,manual_confirmed_invalid,manual_false_positive
2026-01-04T00:00:00Z,2026-01-04,0,1349,88,107,94,289,1060,21.42,224.83,19,19,0
2026-01-04T01:00:00Z,2026-01-04,1,1019,78,107,39,224,795,21.98,509.5,35,35,0
2026-01-04T02:00:00Z,2026-01-04,2,1084,63,81,59,203,881,18.73,180.67,29,29,0
2026-01-04T03:00:00Z,2026-01-04,3,1243,76,86,63,225,1018,18.1,310.75,34,34,0
2026-01-04T04:00:00Z,2026-01-04,4,1188,79,107,40,226,962,19.02,396.0,17,17,0
2026-01-04T05:00:00Z,2026-01-04,5,1310,123,108,74,305,1005,23.28,262.0,26,26,0
2026-01-04T06:00:00Z,2026-01-04,6,970,72,81,52,205,765,21.13,161.67,17,17,0
2026-01-04T07:00:00Z,2026-01-04,7,1257,85,116,73,274,983,21.8,314.25,26,26,0
2026-01-04T08:00:00Z,2026-01-04,8,1374,100,112,55,267,1107,19.43,343.5,31,31,0
2026-01-04T09:00:00Z,2026-01-04,9,1071,83,79,58,220,851,20.54,535.5,19,19,0
2026-01-04T10:00:00Z,2026-01-04,10,930,93,98,35,226,704,24.3,310.0,36,36,0
2026-01-04T11:00:00Z,2026-01-04,11,1151,95,103,71,269,882,23.37,230.2,36,36,0
2026-01-04T12:00:00Z,2026-01-04,12,1139,103,102,61,266,873,23.35,379.67,30,30,0
2026-01-04T13:00:00Z,2026-01-04,13,1079,102,108,42,252,827,23.35,539.5,27,27,0
2026-01-04T14:00:00Z,2026-01-04,14,1017,69,96,51,216,801,21.24,508.5,16,16,0
2026-01-04T15:00:00Z,2026-01-04,15,1396,107,138,70,315,1081,22.56,232.67,18,18,0
2026-01-04T16:00:00Z,2026-01-04,16,1407,132,144,75,351,1056,24.95,351.75,35,35,0
2026-01-04T17:00:00Z,2026-01-04,17,1419,119,132,48,299,1120,21.07,354.75,18,18,0
2026-01-04T18:00:00Z,2026-01-04,18,923,57,58,54,169,754,18.31,461.5,31,31,0
2026-01-04T19:00:00Z,2026-01-04,19,1204,84,93,62,239,965,19.85,602.0,20,20,0
2026-01-04T20:00:00Z,2026-01-04,20,1321,91,109,82,282,1039,21.35,220.17,28,28,0
2026-01-04T21:00:00Z,2026-01-04,21,976,89,108,46,243,733,24.9,244.0,16,16,0
2026-01-04T22:00:00Z,2026-01-04,22,963,88,112,40,240,723,24.92,481.5,28,28,0
2026-01-04T23:00:00Z,2026-01-04,23,1315,94,103,93,290,1025,22.05,438.33,17,17,0
2026-01-05T00:00:00Z,2026-01-05,0,1133,84,102,90,276,857,24.36,377.67,35,35,0
2026-01-05T01:00:00Z,2026-01-05,1,1400,108,143,89,340,1060,24.29,280.0,31,31,0
2026-01-05T02:00:00Z,2026-01-05,2,1137,66,98,45,209,928,18.38,189.5,31,31,0
2026-01-05T03:00:00Z,2026-01-05,3,1083,89,98,83,270,813,24.93,180.5,20,20,0
2026-01-05T04:00:00Z,2026-01-05,4,961,74,84,30,188,773,19.56,240.25,19,19,0
2026-01-05T05:00:00Z,2026-01-05,5,1404,133,134,81,348,1056,24.79,702.0,30,30,0
2026-01-05T06:00:00Z,2026-01-05,6,1441,116,119,65,300,1141,20.82,720.5,31,31,0
2026-01-05T07:00:00Z,2026-01-05,7,1008,74,84,32,190,818,18.85,252.0,34,34,0
2026-01-05T08:00:00Z,2026-01-05,8,1299,94,141,68,303,996,23.33,433.0,36,36,0
2026-01-05T09:00:00Z,2026-01-05,9,1046,85,98,25,208,838,19.89,261.5,29,29,0
2026-01-05T10:00:00Z,2026-01-05,10,1446,118,142,95,355,1091,24.55,361.5,16,16,0
2026-01-05T11:00:00Z,2026-01-05,11,1146,87,91,69,247,899,21.55,573.0,16,16,0
2026-01-05T12:00:00Z,2026-01-05,12,975,61,88,36,185,790,18.97,243.75,32,32,0
2026-01-05T13:00:00Z,2026-01-05,13,1117,78,76,59,213,904,19.07,558.5,23,23,0
2026-01-05T14:00:00Z,2026-01-05,14,1296,113,143,41,297,999,22.92,216.0,17,17,0
2026-01-05T15:00:00Z,2026-01-05,15,1142,88,94,43,225,917,19.7,190.33,27,27,0
2026-01-05T16:00:00Z,2026-01-05,16,951,79,107,47,233,718,24.5,158.5,25,25,0
2026-01-05T17:00:00Z,2026-01-05,17,1349,107,126,53,286,1063,21.2,449.67,28,28,0
2026-01-05T18:00:00Z,2026-01-05,18,1210,108,108,52,268,942,22.15,242.0,25,25,0
2026-01-05T19:00:00Z,2026-01-05,19,960,66,69,39,174,786,18.12,240.0,34,34,0
2026-01-05T20:00:00Z,2026-01-05,20,1292,100,118,38,256,1036,19.81,258.4,36,36,0
2026-01-05T21:00:00Z,2026-01-05,21,1321,112,113,66,291,1030,22.03,330.25,25,25,0
2026-01-05T22:00:00Z,2026-01-05,22,971,78,74,57,209,762,21.52,194.2,32,32,0
2026-01-05T23:00:00Z,2026-01-05,23,1280,77,111,65,253,1027,19.77,213.33,29,29,0
2026-01-06T00:00:00Z,2026-01-06,0,1212,101,111,79,291,921,24.01,606.0,36,36,0
2026-01-06T01:00:00Z,2026-01-06,1,1174,95,92,82,269,905,22.91,587.0,30,30,0
2026-01-06T02:00:00Z,2026-01-06,2,1166,85,90,90,265,901,22.73,291.5,28,28,0
2026-01-06T03:00:00Z,2026-01-06,3,1343,100,122,56,278,1065,20.7,447.67,18,18,0
2026-01-06T04:00:00Z,2026-01-06,4,944,78,87,49,214,730,22.67,157.33,24,24,0
2026-01-06T05:00:00Z,2026-01-06,5,1111,66,81,57,204,907,18.36,277.75,34,34,0
2026-01-06T06:00:00Z,2026-01-06,6,1251,119,131,35,285,966,22.78,417.0,22,22,0
2026-01-06T07:00:00Z,2026-01-06,7,1091,81,81,47,209,882,19.16,181.83,26,26,0
2026-01-06T08:00:00Z,2026-01-06,8,1072,80,119,65,264,808,24.63,357.33,24,24,0
2026-01-06T09:00:00Z,2026-01-06,9,1134,90,100,93,283,851,24.96,567.0,34,34,0
2026-01-06T10:00:00Z,2026-01-06,10,1037,74,73,52,199,838,19.19,345.67,26,26,0
2026-01-06T11:00:00Z,2026-01-06,11,937,81,80,40,201,736,21.45,187.4,23,23,0
2026-01-06T12:00:00Z,2026-01-06,12,915,59,84,38,181,734,19.78,228.75,25,25,0
2026-01-06T13:00:00Z,2026-01-06,13,1125,100,93,74,267,858,23.73,225.0,24,24,0
2026-01-06T14:00:00Z,2026-01-06,14,1052,67,84,63,214,838,20.34,175.33,28,28,0
2026-01-06T15:00:00Z,2026-01-06,15,916,87,89,49,225,691,24.56,183.2,23,23,0
2026-01-06T16:00:00Z,2026-01-06,16,1289,93,133,52,278,1011,21.57,644.5,20,20,0
2026-01-06T17:00:00Z,2026-01-06,17,964,71,107,50,228,736,23.65,482.0,36,36,0
2026-01-06T18:00:00Z,2026-01-06,18,1274,77,92,78,247,1027,19.39,424.67,31,31,0
2026-01-06T19:00:00Z,2026-01-06,19,913,67,68,40,175,738,19.17,152.17,30,30,0
2026-01-06T20:00:00Z,2026-01-06,20,1398,105,110,107,322,1076,23.03,349.5,17,17,0
2026-01-06T21:00:00Z,2026-01-06,21,938,63,80,43,186,752,19.83,156.33,36,36,0
2026-01-06T22:00:00Z,2026-01-06,22,1058,77,80,59,216,842,20.42,211.6,28,28,0
2026-01-06T23:00:00Z,2026-01-06,23,910,65,75,65,205,705,22.53,227.5,32,32,0
2026-01-07T00:00:00Z,2026-01-07,0,1219,88,84,58,230,989,18.87,203.17,16,16,0
2026-01-07T01:00:00Z,2026-01-07,1,907,84,93,34,211,696,23.26,151.17,27,27,0
2026-01-07T02:00:00Z,2026-01-07,2,1342,104,96,55,255,1087,19.0,335.5,28,28,0
2026-01-07T03:00:00Z,2026-01-07,3,1138,99,112,49,260,878,22.85,379.33,28,28,0
