run_started_at_utc,run_date_utc,run_hour_utc,total_received,passed_count,dropped_count,manual_sample_size,manual_correct_count,manual_incorrect_count,decision_correctness_pct,true_positive,true_negative,false_positive,false_negative,false_positive_rate_pct,false_negative_rate_pct,throughput_events_per_sec
2026-03-21T00:00:00Z,2026-03-21,00,1260,914,346,46,36,10,78.26,4,32,5,5,10.87,10.87,252.0
2026-03-21T01:00:00Z,2026-03-21,01,1037,719,318,61,50,11,81.97,35,15,9,2,14.75,3.28,148.14
2026-03-21T02:00:00Z,2026-03-21,02,910,610,300,43,36,7,83.72,27,9,0,7,0.0,16.28,182.0
2026-03-21T03:00:00Z,2026-03-21,03,988,739,249,30,25,5,83.33,6,19,1,4,3.33,13.33,329.33
2026-03-21T04:00:00Z,2026-03-21,04,1311,989,322,46,39,7,84.78,20,19,7,0,15.22,0.0,437.0
2026-03-21T05:00:00Z,2026-03-21,05,1025,667,358,47,39,8,82.98,26,13,7,1,14.89,2.13,341.67
2026-03-21T06:00:00Z,2026-03-21,06,1337,957,380,32,25,7,78.12,17,8,3,4,9.38,12.5,222.83
2026-03-21T07:00:00Z,2026-03-21,07,1147,786,361,50,39,11,78.0,12,27,9,2,18.0,4.0,573.5
2026-03-21T08:00:00Z,2026-03-21,08,927,778,149,61,52,9,85.25,12,40,8,1,13.11,1.64,463.5
2026-03-21T09:00:00Z,2026-03-21,09,1246,862,384,44,38,6,86.36,27,11,1,5,2.27,11.36,415.33
2026-03-21T10:00:00Z,2026-03-21,10,1122,774,348,50,42,8,84.0,20,22,3,5,6.0,10.0,160.29
2026-03-21T11:00:00Z,2026-03-21,11,1139,892,247,50,40,10,80.0,20,20,10,0,20.0,0.0,189.83
2026-03-21T12:00:00Z,2026-03-21,12,901,611,290,53,44,9,83.02,13,31,4,5,7.55,9.43,300.33
2026-03-21T13:00:00Z,2026-03-21,13,1097,816,281,46,36,10,78.26,12,24,4,6,8.7,13.04,548.5
2026-03-21T14:00:00Z,2026-03-21,14,1271,964,307,52,43,9,82.69,36,7,6,3,11.54,5.77,423.67
2026-03-21T15:00:00Z,2026-03-21,15,950,697,253,58,48,10,82.76,12,36,4,6,6.9,10.34,475.0
2026-03-21T16:00:00Z,2026-03-21,16,1194,996,198,52,41,11,78.85,23,18,7,4,13.46,7.69,170.57
2026-03-21T17:00:00Z,2026-03-21,17,1336,978,358,46,36,10,78.26,30,6,5,5,10.87,10.87,445.33
2026-03-21T18:00:00Z,2026-03-21,18,1041,818,223,59,51,8,86.44,34,17,1,7,1.69,11.86,148.71
2026-03-21T19:00:00Z,2026-03-21,19,972,707,265,57,48,9,84.21,38,10,8,1,14.04,1.75,486.0
2026-03-21T20:00:00Z,2026-03-21,20,1302,900,402,49,40,9,81.63,16,24,0,9,0.0,18.37,325.5
2026-03-21T21:00:00Z,2026-03-21,21,1260,938,322,45,37,8,82.22,30,7,7,1,15.56,2.22,180.0
2026-03-21T22:00:00Z,2026-03-21,22,1182,919,263,53,44,9,83.02,24,20,3,6,5.66,11.32,236.4
2026-03-21T23:00:00Z,2026-03-21,23,874,658,216,52,44,8,84.62,33,11,7,1,13.46,1.92,174.8
2026-03-22T00:00:00Z,2026-03-22,00,867,680,187,38,31,7,81.58,21,10,2,5,5.26,13.16,123.86
2026-03-22T01:00:00Z,2026-03-22,01,1016,721,295,47,41,6,87.23,25,16,0,6,0.0,12.77,338.67
2026-03-22T02:00:00Z,2026-03-22,02,1095,874,221,37,30,7,81.08,14,16,7,0,18.92,0.0,547.5
2026-03-22T03:00:00Z,2026-03-22,03,1296,879,417,37,31,6,83.78,13,18,4,2,10.81,5.41,648.0
2026-03-22T04:00:00Z,2026-03-22,04,909,685,224,30,24,6,80.0,23,1,1,5,3.33,16.67,454.5
2026-03-22T05:00:00Z,2026-03-22,05,1083,842,241,34,27,7,79.41,22,5,4,3,11.76,8.82,541.5
2026-03-22T06:00:00Z,2026-03-22,06,1396,925,471,54,42,12,77.78,14,28,5,7,9.26,12.96,232.67
2026-03-22T07:00:00Z,2026-03-22,07,1111,726,385,42,35,7,83.33,12,23,3,4,7.14,9.52,277.75
2026-03-22T08:00:00Z,2026-03-22,08,1174,765,409,62,49,13,79.03,17,32,12,1,19.35,1.61,234.8
2026-03-22T09:00:00Z,2026-03-22,09,1304,911,393,37,31,6,83.78,5,26,0,6,0.0,16.22,652.0
2026-03-22T10:00:00Z,2026-03-22,10,1370,1128,242,46,36,10,78.26,8,28,10,0,21.74,0.0,685.0
2026-03-22T11:00:00Z,2026-03-22,11,1251,844,407,59,47,12,79.66,40,7,9,3,15.25,5.08,178.71
2026-03-22T12:00:00Z,2026-03-22,12,1343,1107,236,41,32,9,78.05,20,12,7,2,17.07,4.88,223.83
2026-03-22T13:00:00Z,2026-03-22,13,1102,871,231,31,24,7,77.42,17,7,0,7,0.0,22.58,157.43
2026-03-22T14:00:00Z,2026-03-22,14,993,655,338,51,41,10,80.39,12,29,4,6,7.84,11.76,248.25
2026-03-22T15:00:00Z,2026-03-22,15,911,604,307,42,33,9,78.57,21,12,5,4,11.9,9.52,303.67
2026-03-22T16:00:00Z,2026-03-22,16,880,596,284,60,51,9,85.0,4,47,4,5,6.67,8.33,146.67
2026-03-22T17:00:00Z,2026-03-22,17,960,747,213,38,31,7,81.58,16,15,1,6,2.63,15.79,480.0
2026-03-22T18:00:00Z,2026-03-22,18,1045,724,321,38,32,6,84.21,20,12,5,1,13.16,2.63,522.5
2026-03-22T19:00:00Z,2026-03-22,19,1112,904,208,32,26,6,81.25,13,13,4,2,12.5,6.25,370.67
2026-03-22T20:00:00Z,2026-03-22,20,1022,815,207,29,23,6,79.31,15,8,4,2,13.79,6.9,255.5
2026-03-22T21:00:00Z,2026-03-22,21,1189,996,193,43,37,6,86.05,19,18,4,2,9.3,4.65,396.33
2026-03-22T22:00:00Z,2026-03-22,22,1350,1124,226,56,47,9,83.93,45,2,7,2,12.5,3.57,270.0
2026-03-22T23:00:00Z,2026-03-22,23,1362,1008,354,52,45,7,86.54,41,4,5,2,9.62,3.85,272.4
2026-03-23T00:00:00Z,2026-03-23,00,1206,886,320,29,23,6,79.31,8,15,3,3,10.34,10.34,201.0
2026-03-23T01:00:00Z,2026-03-23,01,1360,1100,260,47,40,7,85.11,22,18,6,1,12.77,2.13,194.29
2026-03-23T02:00:00Z,2026-03-23,02,1185,978,207,62,53,9,85.48,23,30,9,0,14.52,0.0,395.0
2026-03-23T03:00:00Z,2026-03-23,03,959,697,262,56,44,12,78.57,15,29,6,6,10.71,10.71,137.0
2026-03-23T04:00:00Z,2026-03-23,04,1035,858,177,57,46,11,80.7,17,29,2,9,3.51,15.79,517.5
2026-03-23T05:00:00Z,2026-03-23,05,1077,840,237,59,48,11,81.36,16,32,7,4,11.86,6.78,359.0
2026-03-23T06:00:00Z,2026-03-23,06,968,635,333,28,23,5,82.14,16,7,0,5,0.0,17.86,193.6
2026-03-23T07:00:00Z,2026-03-23,07,942,726,216,59,50,9,84.75,23,27,9,0,15.25,0.0,314.0
2026-03-23T08:00:00Z,2026-03-23,08,852,557,295,38,30,8,78.95,25,5,6,2,15.79,5.26,426.0
2026-03-23T09:00:00Z,2026-03-23,09,1070,777,293,52,43,9,82.69,21,22,2,7,3.85,13.46,535.0
2026-03-23T10:00:00Z,2026-03-23,10,1256,830,426,50,39,11,78.0,6,33,0,11,0.0,22.0,179.43
2026-03-23T11:00:00Z,2026-03-23,11,1276,1013,263,56,45,11,80.36,37,8,8,3,14.29,5.36,319.0
2026-03-23T12:00:00Z,2026-03-23,12,1078,799,279,60,50,10,83.33,38,12,9,1,15.0,1.67,215.6
2026-03-23T13:00:00Z,2026-03-23,13,1257,904,353,48,39,9,81.25,23,16,2,7,4.17,14.58,419.0
2026-03-23T14:00:00Z,2026-03-23,14,974,805,169,45,36,9,80.0,12,24,2,7,4.44,15.56,139.14
2026-03-23T15:00:00Z,2026-03-23,15,1187,958,229,40,34,6,85.0,25,9,0,6,0.0,15.0,169.57
2026-03-23T16:00:00Z,2026-03-23,16,1051,828,223,39,32,7,82.05,23,9,0,7,0.0,17.95,525.5
2026-03-23T17:00:00Z,2026-03-23,17,931,735,196,31,26,5,83.87,8,18,5,0,16.13,0.0,155.17
2026-03-23T18:00:00Z,2026-03-23,18,1065,809,256,32,28,4,87.5,6,22,3,1,9.38,3.12,177.5
