run_started_at_utc,run_finished_at_utc,run_date_utc,run_hour_utc,posts_fetched,events_published_success,publish_failures,run_success_rate_pct,run_latency_seconds
2026-01-04T00:00:00Z,2026-01-04T00:04:21Z,2026-01-04,0,277,1013,75,93.11,261
2026-01-04T01:00:00Z,2026-01-04T01:02:58Z,2026-01-04,1,269,943,21,97.82,178
2026-01-04T02:00:00Z,2026-01-04T02:02:41Z,2026-01-04,2,221,989,12,98.8,161
2026-01-04T03:00:00Z,2026-01-04T03:02:19Z,2026-01-04,3,233,887,35,96.2,139
2026-01-04T04:00:00Z,2026-01-04T04:02:08Z,2026-01-04,4,204,1000,8,99.21,128
2026-01-04T05:00:00Z,2026-01-04T05:02:49Z,2026-01-04,5,244,887,12,98.67,169
2026-01-04T06:00:00Z,2026-01-04T06:02:55Z,2026-01-04,6,261,1126,30,97.4,175
2026-01-04T07:00:00Z,2026-01-04T07:04:40Z,2026-01-04,7,197,919,72,92.73,280
2026-01-04T08:00:00Z,2026-01-04T08:02:52Z,2026-01-04,8,263,1034,19,98.2,172
2026-01-04T09:00:00Z,2026-01-04T09:02:47Z,2026-01-04,9,256,1001,13,98.72,167
2026-01-04T10:00:00Z,2026-01-04T10:02:39Z,2026-01-04,10,243,1027,12,98.85,159
2026-01-04T11:00:00Z,2026-01-04T11:04:33Z,2026-01-04,11,191,884,74,92.28,273
2026-01-04T12:00:00Z,2026-01-04T12:02:36Z,2026-01-04,12,229,1096,24,97.86,156
2026-01-04T13:00:00Z,2026-01-04T13:02:40Z,2026-01-04,13,205,1026,30,97.16,160
2026-01-04T14:00:00Z,2026-01-04T14:02:45Z,2026-01-04,14,207,1077,30,97.29,165
2026-01-04T15:00:00Z,2026-01-04T15:02:55Z,2026-01-04,15,238,941,8,99.16,175
2026-01-04T16:00:00Z,2026-01-04T16:02:38Z,2026-01-04,16,271,975,25,97.5,158
2026-01-04T17:00:00Z,2026-01-04T17:02:45Z,2026-01-04,17,259,1161,9,99.23,165
2026-01-04T18:00:00Z,2026-01-04T18:04:55Z,2026-01-04,18,242,896,68,92.95,295
2026-01-04T19:00:00Z,2026-01-04T19:02:20Z,2026-01-04,19,247,1062,29,97.34,140
2026-01-04T20:00:00Z,2026-01-04T20:02:18Z,2026-01-04,20,239,1003,20,98.04,138
2026-01-04T21:00:00Z,2026-01-04T21:02:15Z,2026-01-04,21,221,1072,18,98.35,135
2026-01-04T22:00:00Z,2026-01-04T22:04:09Z,2026-01-04,22,204,1037,21,98.02,249
2026-01-04T23:00:00Z,2026-01-04T23:02:29Z,2026-01-04,23,251,1196,21,98.27,149
2026-01-05T00:00:00Z,2026-01-05T00:02:40Z,2026-01-05,0,280,1098,27,97.6,160
2026-01-05T01:00:00Z,2026-01-05T01:02:33Z,2026-01-05,1,268,1032,13,98.76,153
2026-01-05T02:00:00Z,2026-01-05T02:02:48Z,2026-01-05,2,188,1117,25,97.81,168
2026-01-05T03:00:00Z,2026-01-05T03:02:36Z,2026-01-05,3,265,977,19,98.09,156
2026-01-05T04:00:00Z,2026-01-05T04:02:50Z,2026-01-05,4,275,976,20,97.99,170
2026-01-05T05:00:00Z,2026-01-05T05:04:36Z,2026-01-05,5,265,920,74,92.56,276
